131.76444053649902, 115.4855728149414
127.00584411621094, 103.38387489318848
128.43006134033203, 102.61064529418945
129.8180866241455, 102.04166412353516
121.14655494689941, 109.35613632202148
117.88150548934937, 113.85919570922852
114.26218271255493, 119.26313400268555
128.83787155151367, 111.7524528503418
106.66727542877197, 135.79011917114258
136.68917655944824, 128.08710098266602
130.6023359298706, 139.89328384399414
170.9403419494629, 158.11492919921875
104.94695663452148, 247.61674880981445
211.70926094055176, 246.5914535522461
118.96426677703857, 391.9466018676758
240.98467826843262, 325.6545639038086
128.89031410217285, 502.9045867919922
263.96533012390137, 354.820556640625
126.85973167419434, 535.4877471923828
258.77552032470703, 363.43944549560547
128.74478816986084, 534.9025726318359
251.29600524902344, 359.73072052001953
131.09300136566162, 524.2283630371094
232.8662395477295, 343.7074279785156
189.87513542175293, 394.3973922729492
316.35003089904785, 414.3086624145508
272.074670791626, 439.498291015625
373.0357360839844, 551.9367980957031
300.24003982543945, 610.0960922241211
372.16552734375, 576.1539077758789
302.0731544494629, 622.408447265625
412.0258140563965, 593.7351226806641
342.3578453063965, 664.5468139648438
